date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:46	281/281	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Aug%202021%2009:01:46%20GMT	http://localhost/robots.txt		(from )
15:01:49	73649/73649	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Aug%202021%2009:01:46%20GMT	http://localhost/about_me/	C:/wamp64/www/Portfolio/localhost/about_me/index.html	(from )
15:01:49	42270/42270	---M--	200	added ('OK')	text/css	etag:%22a51e-5c8c8bd3bc827%22	http://localhost/about_me/wp-content/themes/astra/assets/css/minified/main.min.css?ver=3.6.7	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/themes/astra/assets/css/minified/main.minf4e1.css	(from http://localhost/about_me/)
15:01:51	80574/80574	---M--	200	added ('OK')	text/css	etag:%2213abe-5c76f69fc6840%22	http://localhost/about_me/wp-includes/css/dist/block-library/style.min.css?ver=5.8	C:/wamp64/www/Portfolio/localhost/about_me/wp-includes/css/dist/block-library/style.min41a3.css	(from http://localhost/about_me/)
15:01:52	1878/1878	---M--	200	added ('OK')	application/rss+xml	etag:%2295173f90a694fca6573163125f8e240d%22	http://localhost/about_me/feed/	C:/wamp64/www/Portfolio/localhost/about_me/feed/index.html	(from http://localhost/about_me/)
15:01:52	1649/1649	---M--	200	added ('OK')	application/rss+xml	etag:%22b9af28a680604bfff35965b36a784550%22	http://localhost/about_me/comments/feed/	C:/wamp64/www/Portfolio/localhost/about_me/comments/feed/index.html	(from http://localhost/about_me/)
15:01:52	16209/16209	---M--	200	added ('OK')	text/css	etag:%223f51-5c8cb877627d8%22	http://localhost/about_me/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.7.0	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min87e8.css	(from http://localhost/about_me/)
15:01:52	18468/18468	---M--	200	added ('OK')	text/css	etag:%224824-5c8cb8774e863%22	http://localhost/about_me/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=2.9.14	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/lib/animations/animations.min7c53.css	(from http://localhost/about_me/)
15:01:53	108733/108733	---M--	200	added ('OK')	text/css	etag:%221a8bd-5c8cb876f8928%22	http://localhost/about_me/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=2.9.14	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor/assets/css/frontend.min7c53.css	(from http://localhost/about_me/)
15:01:53	211834/211834	---M--	200	added ('OK')	text/css	etag:%2233b7a-5c8cb897855aa%22	http://localhost/about_me/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=2.10.3	C:/wamp64/www/Portfolio/localhost/about_me/wp-content/plugins/elementor-pro/assets/css/frontend.minc27b.css	(from http://localhost/about_me/)
